Player,Team,POS,R/L,G,GS,IP,W,L,SV,HLD,ERA,SO,BB,H,ER,LD%
Ryan Thompson,ARI,RP,R,64.8,0,71.3,3.6,3.4,1,16,4.13,59.2,25.3,71.3,32.5,20.5
Shintaro Fujinami,NYM,RP,R,64.8,0,71.3,3.6,3.4,0,13,3.86,81.9,32,60.6,31.8,19.4
Tyler Holton,DET,RP,L,64.8,0,71.3,3.5,3.5,0,19,3.9,63.9,22.4,65.7,31.3,20.2
Dauri Moreta,PIT,RP,R,64.8,0,71.3,3.5,3.5,0,6,4.03,76,29.7,59.7,32.2,19.7
John King,STL,RP,L,64.8,0,71.3,3.7,3.3,0,19,3.77,50.4,24,76.7,30.9,20.1
Jose Soriano,LAA,RP,R,64.8,0,71.3,3.7,3.3,0,19,3.83,82.2,35.2,61,29.7,19.6
Lucas Erceg,OAK,RP,R,64.8,0,71.3,3.4,3.6,3,19,3.64,83.5,35.5,59.7,29.8,19.4
Bryse Wilson,MIL,RP,R,64.8,0,71.3,3.4,3.6,0,6,4.54,58.4,20,73.8,35.6,20.1
Andre Pallante,STL,RP,R,64.8,0,71.3,3.7,3.3,0,19,3.7,55.7,27.8,72.8,30.3,19.9
Josh Winckowski,BOS,RP,R,64.8,0,71.3,3.7,3.3,0,19,4.12,64.3,23.4,72.1,30.5,19.6
Kevin Kelly,TB,RP,R,64.8,0,71.3,3.5,3.5,2,19,4.15,61.2,23.6,71.4,33.4,20.4
Shane Baz,TB,SP,R,22.4,12.2,71.2,4.2,3.4,0,1,3.71,78.9,21.8,62.2,29.8,19.7
Michael Lorenzen,FA,SP,R,25.9,9.7,69.8,6.2,6.5,0,0,4.54,56.6,24.1,73.6,35.2,20.2
Yonny Chirinos,MIA,SP,R,32.4,8.1,69.7,3.3,4.3,0,2,4.83,48.4,22.6,76.5,37.8,20.4
Brent Suter,CIN,RP,L,63.2,0,69.5,3.4,3.4,0,13,4.65,58.3,28.1,74.5,33.2,21.1
Robert Garcia,WSH,RP,L,63.2,0,69.5,3.3,3.5,0,19,4.17,69.5,32.1,63.9,31.3,20
AJ Smith-Shawver,ATL,SP,R,25.9,9.7,68.9,4.2,3.3,0,2,4.69,70.5,31.1,62.6,35.3,19.9
Grant Anderson,TEX,RP,R,48.6,0,68,3.4,3.2,0,15,4.2,64.2,26.8,65.8,31.3,20.2
Luis Patino,SD,RP,R,51.8,3.2,67.9,3.1,3.8,0,5,4.7,56.9,30.1,70.6,36.5,20
Ray Kerr,ATL,RP,L,61.6,0,67.8,3.7,2.9,0,6,3.87,76.4,31,59.6,28.7,19.8
Ricky Tiedemann,TOR,SP,L,13.3,13.3,66.5,4,3.4,0,0,4.03,69.6,28.1,62.3,29.8,20.9
Owen White,TEX,SP,R,25.9,9.7,66.3,3.5,3.9,0,2,4.96,49.1,26.8,72.4,36.1,20.4
Ben Lively,CLE,RP,R,35.6,3.2,66.2,3.4,3.5,0,3,4.37,58.9,18.1,67.8,31.9,20.3
Drew Smyly,CHC,SP,L,37.3,4.9,66.1,3.3,3.5,0,3,4.26,64.7,20.8,63.5,31,20.2
Michael Tonkin,NYM,RP,R,59.9,0,65.9,3.3,3.2,0,6,4.01,67.3,22.1,59.3,30.6,20
Ryan Walker,SF,RP,R,59.9,0,65.9,3.4,3.1,0,6,3.64,71.2,25.2,59.4,27.1,19.7
Nick Mears,COL,RP,R,59.9,0,65.9,3.1,3.3,0,6,5.04,63.3,36.3,62.9,32.1,20
Luke Jackson,SF,RP,R,64.8,0,64.8,3.2,3.2,0,13,3.97,64.9,27.1,60.2,29,19.9
Hector Neris,CHC,RP,R,64.8,0,64.8,3.2,3.2,3,16,4.11,69.2,26.5,55.3,29.3,20.2
Rafael Montero,HOU,RP,R,64.8,0,64.8,3.4,3,2,16,4,69.7,25.4,60.4,28.8,19.8
Jose Leclerc,TEX,RP,R,64.8,0,64.8,3.3,3.1,20,13,4.2,70.8,29.2,54,29.8,19.8
Carlos Estevez,LAA,RP,R,64.8,0,64.8,3.2,3.2,20,10,4.33,69.2,27.4,58.4,30.5,19.7
Joe Jimenez,ATL,RP,R,64.8,0,64.8,3.5,2.8,0,19,4.01,76.7,21.9,54.6,28.4,19.6
Reynaldo Lopez,ATL,RP,R,64.8,0,64.8,3.6,2.7,0,19,3.76,74.6,23,53.9,26.6,19.4
Raisel Iglesias,ATL,RP,R,64.8,0,64.8,3.7,2.7,30,3,3.63,74.4,18.7,56.5,25.7,19.7
Rich Hill,FA,SP,L,24.3,8.1,64.8,5.8,6,0,0,4.49,56,21.6,70.6,32.3,20.8
Ryan Brasier,LAD,RP,R,64.8,0,64.8,3.4,2.9,0,19,3.95,66.5,20.5,59.2,28.6,19.7
Clay Holmes,NYY,RP,R,64.8,0,64.8,3.6,2.7,30,0,3.36,67.4,24.3,59.3,23.8,19.7
Joel Payamps,MIL,RP,R,64.8,0,64.8,3.3,3.1,0,19,3.92,63.2,20.5,61.1,27.9,19.7
Aaron Bummer,ATL,RP,L,64.8,0,64.8,3.8,2.6,1,16,3.25,74.3,29,56.6,23,20
Jose Alvarado,PHI,RP,L,64.8,0,64.8,3.7,2.7,15,16,3.05,84.6,30.6,49.9,21.6,19.4
Ryan Borucki,PIT,RP,L,64.8,0,64.8,3.2,3.2,0,19,4.15,57.3,26.2,60.3,30.1,20
Evan Phillips,LAD,RP,R,64.8,0,64.8,3.6,2.8,30,3,3.52,74.5,21.3,54,25.5,19.6
Kyle Finnegan,WSH,RP,R,64.8,0,64.8,3.1,3.2,20,13,4.07,64.5,25.2,58.8,28.5,19.5
Emilio Pagan,CIN,RP,R,64.8,0,64.8,3.2,3.1,0,12,4.54,71.2,24.9,57.4,30.3,19.6
Jonathan Hernandez,TEX,RP,R,64.8,0,64.8,3.3,3.1,2,16,4.06,63.8,31.5,61.7,28.8,19.7
Bryan Abreu,HOU,RP,R,64.8,0,64.8,3.7,2.7,0,19,3.28,88.2,28.5,48.8,23.6,19.4
Kevin Ginkel,ARI,RP,R,64.8,0,64.8,3.4,3,5,16,3.72,69.7,25.5,55.8,26.7,19.7
